customer_id,name,age,gender,country,signup_date,tenure_months,monthly_spend,num_purchases,satisfaction_score,loyalty_tier,churn_risk,last_purchase_days
5001,Carol,56.0,Female,Canada,2020-12-15,25.0,289.51,6.0,2.0,Bronze,High,289.0
5002,Alice,46.0,Male,USA,2022-01-05,68.0,280.06,4.0,5.0,Gold,Low,7.0
5003,Bob,32.0,Female,USA,2021-08-01,61.0,152.11,5.0,1.0,Gold,High,248.0
5004,Dave,60.0,male,Canada,2024-07-31,29.0,290.12,8.0,2.0,Bronze,High,227.0
5005,Frank,25.0,Female,USA,2022-04-20,19.0,203.83,4.0,2.0,Bronze,High,154.0
5006,Dave,38.0,Other,Canada,2021-02-04,43.0,292.61,5.0,2.0,Silver,Medium,28.0
5007,Carol,56.0,Male,Australia,2022-01-20,66.0,298.08,11.0,1.0,Gold,High,350.0
5008,Eve,36.0,male,Australia,2024-01-14,74.0,276.27,7.0,2.0,Gold,Medium,35.0
5009,Grace,40.0,Male,USA,2024-02-07,61.0,264.03,7.0,1.0,Gold,High,250.0
5010,Grace,28.0,Male,Germany,2022-03-31,43.0,272.99,8.0,1.0,Silver,High,115.0
5011,Frank,,Male,UK,2023-12-13,25.0,130.98,1.0,4.0,,Low,51.0
5012,Hank,41.0,Male,France,2022-10-24,20.0,179.77,7.0,4.0,Bronze,Low,25.0
5013,Eve,53.0,Female,Germany,2023-09-09,48.0,239.26,5.0,2.0,Silver,Medium,9.0
5014,Alice,57.0,FEMALE,USA,2021-01-03,83.0,273.04,8.0,3.0,Gold,Low,52.0
5015,Carol,41.0,Other,UK,2024-06-25,87.0,315.89,11.0,4.0,Gold,Low,33.0
5016,Carol,20.0,Female,USA,2023-11-19,24.0,226.06,6.0,4.0,Bronze,Low,17.0
5017,Eve,39.0,Female,Germany,2021-07-09,11.0,173.58,2.0,3.0,Bronze,Medium,12.0
5018,Hank,19.0,Female,UK,2023-02-16,110.0,227.91,1.0,5.0,Platinum,Low,9.0
5019,Grace,41.0,male,Canada,2024-09-19,98.0,329.34,8.0,2.0,Platinum,Low,54.0
5020,Bob,61.0,Other,Canada,2024-11-01,55.0,344.96,9.0,5.0,Silver,Low,5.0
5021,Dave,47.0,Female,Australia,2022-10-01,28.0,225.18,4.0,5.0,Bronze,Low,47.0
5022,Frank,55.0,Female,Australia,2022-08-23,69.0,388.68,10.0,1.0,Gold,High,339.0
5023,,19.0,Other,UK,2022-10-11,63.0,160.88,5.0,1.0,Gold,High,184.0
5024,Alice,38.0,Male,Germany,2023-04-28,59.0,238.15,8.0,2.0,Silver,Medium,19.0
5025,Dave,50.0,Male,France,2024-07-03,5.0,222.3,5.0,3.0,Bronze,Medium,35.0
5026,,,Female,,2023-12-10,51.0,233.15,6.0,1.0,Silver,High,256.0
5027,Hank,39.0,male,USA,2022-03-24,21.0,200.86,5.0,4.0,Bronze,Low,
5028,Carol,61.0,Female,USA,2024-12-19,12.0,187.08,5.0,2.0,Bronze,High,350.0
5029,Alice,42.0,FEMALE,USA,2020-04-15,50.0,367.9,8.0,5.0,Silver,Low,9.0
5030,Eve,44.0,Male,UK,2020-06-13,4.0,176.2,3.0,2.0,Bronze,High,138.0
5031,Grace,59.0,Female,USA,2021-09-29,118.0,409.51,9.0,1.0,Platinum,Medium,42.0
5032,Carol,45.0,Female,,2023-10-01,113.0,385.34,10.0,3.0,Platinum,Low,33.0
5033,Hank,33.0,FEMALE,Canada,2023-01-26,42.0,180.17,3.0,5.0,Silver,Low,54.0
5034,Carol,32.0,Male,UK,2022-10-20,84.0,274.85,6.0,3.0,Gold,Low,16.0
5035,Eve,64.0,Female,Canada,2024-02-18,38.0,265.14,10.0,2.0,Silver,Medium,43.0
5036,Frank,61.0,Male,USA,2020-11-26,25.0,291.28,9.0,3.0,Bronze,Low,24.0
5037,Carol,20.0,Female,France,2023-10-25,14.0,117.2,1.0,,Bronze,Medium,8.0
5038,Carol,54.0,male,Australia,2024-01-05,75.0,337.94,10.0,2.0,Gold,Medium,30.0
5039,Dave,24.0,Male,Canada,2023-02-17,32.0,117.67,4.0,5.0,Silver,Low,26.0
5040,Grace,38.0,male,France,2020-10-25,11.0,139.05,3.0,3.0,Bronze,Medium,45.0
5041,Alice,26.0,FEMALE,USA,2022-05-05,61.0,151.24,2.0,3.0,Gold,Low,48.0
5042,Eve,56.0,,Germany,2023-03-12,18.0,209.47,4.0,2.0,Bronze,High,139.0
5043,Frank,35.0,Other,USA,2021-12-07,27.0,66.82,2.0,4.0,Bronze,Low,45.0
5044,Eve,21.0,Male,,2024-07-23,55.0,180.14,3.0,3.0,Silver,Low,17.0
5045,Hank,42.0,Male,USA,2024-06-27,54.0,230.29,8.0,1.0,Silver,High,123.0
5046,Eve,31.0,Female,Canada,2023-01-21,82.0,273.55,10.0,5.0,Gold,Low,38.0
5047,Eve,26.0,Other,USA,2023-08-13,87.0,260.73,6.0,3.0,Gold,Low,10.0
5048,Eve,43.0,Female,Canada,2021-03-22,75.0,354.35,11.0,2.0,Gold,Medium,41.0
5049,Frank,19.0,Male,UK,2021-04-24,21.0,268.22,6.0,1.0,Bronze,High,285.0
5050,Bob,37.0,FEMALE,France,2022-01-03,44.0,283.88,6.0,2.0,Silver,Medium,17.0
5051,Hank,45.0,Other,Canada,2024-10-01,5.0,169.84,6.0,3.0,Bronze,Medium,7.0
5052,Alice,64.0,Male,USA,2024-12-28,87.0,347.83,12.0,1.0,Gold,High,339.0
5053,Frank,24.0,Female,USA,2022-05-23,41.0,226.93,10.0,5.0,Silver,Low,11.0
5054,Eve,61.0,Male,France,2023-07-05,59.0,237.33,7.0,5.0,Silver,Low,50.0
5055,Bob,25.0,Male,UK,2021-06-05,89.0,242.74,8.0,5.0,Gold,Low,3.0
5056,Alice,64.0,Female,UK,2024-09-02,105.0,387.59,10.0,4.0,Platinum,Low,46.0
5057,Bob,52.0,Female,,2023-10-30,54.0,316.21,,2.0,Silver,Medium,20.0
5058,Carol,31.0,Male,USA,2023-12-21,74.0,284.69,8.0,3.0,Gold,Low,13.0
5059,Hank,34.0,Other,USA,2023-01-29,22.0,147.77,5.0,1.0,Bronze,High,156.0
5060,Grace,53.0,Male,UK,2021-09-13,83.0,312.78,6.0,2.0,Gold,Medium,17.0
5061,Alice,57.0,Female,USA,2022-01-28,65.0,340.76,8.0,3.0,Gold,Low,29.0
5062,Carol,21.0,Male,USA,2020-08-31,64.0,169.05,6.0,4.0,Gold,Low,54.0
5063,Hank,19.0,Female,USA,2020-01-23,71.0,273.81,8.0,3.0,Gold,Low,43.0
5064,Bob,,Male,USA,2023-10-09,4.0,155.46,6.0,2.0,Bronze,High,74.0
5065,,59.0,Female,USA,2021-04-10,65.0,333.08,9.0,3.0,Gold,Low,32.0
5066,Bob,21.0,Female,Australia,2023-06-02,15.0,155.05,3.0,1.0,Bronze,High,313.0
5067,Frank,46.0,Male,Canada,2022-05-14,104.0,320.66,8.0,4.0,Platinum,Low,35.0
5068,Dave,35.0,,Germany,2024-01-07,76.0,237.69,6.0,1.0,Gold,High,67.0
5069,Bob,43.0,Female,USA,2024-12-02,22.0,190.76,5.0,4.0,Bronze,Low,21.0
5070,Bob,61.0,Male,USA,2020-09-25,86.0,387.0,8.0,4.0,Gold,Low,16.0
5071,Frank,51.0,Female,Germany,2021-06-16,114.0,384.05,9.0,3.0,Platinum,Low,23.0
